Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
"Tube, SUS 304, AP",01,Stainless Steel (SUS),0101,Tube,0101001,SUS 304,0101001001,AP,A
"Tube, SUS 316L, AP Seamless",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002002,AP Seamless,A
"Tube, SUS 316L, BA Seamless",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002003,BA Seamless,A
"Tube, SUS 316L, EP Seamless",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002004,EP Seamless,A
"Tube, SUS 316L, BA (Valex)",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002005,BA (Valex),A
"Tube, SUS 316L, EP (Valex)",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002007,EP (Valex),A
"Tube, SUS 316L, EP ERW",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002010,EP ERW,A
"Tube, SUS 316L, Coaxial (Double Containment)",01,Stainless Steel (SUS),0101,Tube,0101002,SUS 316L,0101002011,Coaxial (Double Containment),A
"Tube, Sanitary",01,Stainless Steel (SUS),0101,Tube,0101003,Sanitary,0101003001,Sanitary,A
"Tube, A269-TP316L, AP",01,Stainless Steel (SUS),0101,Tube,0101006,A269-TP316L,0101006001,AP,A
"Tube, A269-TP316L, EP",01,Stainless Steel (SUS),0101,Tube,0101006,A269-TP316L,0101006003,EP,A
"Pipe Lined, SUS 304",01,Stainless Steel (SUS),0102,Pipe,0102001,SUS 304,0102001016,Pipe Lined,A
"Pipe, SUS 304, Machined / Fabricated",01,Stainless Steel (SUS),0102,Pipe,0102001,SUS 304,0102001017,Machined / Fabricated,A
"Pipe, A312-TP304, ERW SCH10",01,Stainless Steel (SUS),0102,Pipe,0102002,A312-TP304,0102002002,ERW SCH10,A
"Pipe, A312-TP304, ERW SCH40",01,Stainless Steel (SUS),0102,Pipe,0102002,A312-TP304,0102002004,ERW SCH40,A
"Pipe, A312-TP304, Seamless SCH10",01,Stainless Steel (SUS),0102,Pipe,0102002,A312-TP304,0102002007,Seamless SCH10,A
"Pipe, A312-TP304, Seamless STD",01,Stainless Steel (SUS),0102,Pipe,0102002,A312-TP304,0102002021,Seamless STD,A
"Pipe, Spiral",01,Stainless Steel (SUS),0102,Pipe,0102006,Spiral,0102006001,Pipe,A
"Pipe, A312-TP316L, Seamless SCH80",01,Stainless Steel (SUS),0102,Pipe,0102010,A312-TP316L,0102010006,Seamless SCH80,A
"Pipe, A312-TP304L, ERW SCH10",01,Stainless Steel (SUS),0102,Pipe,0102011,A312-TP304L,0102011002,ERW SCH10,A
"Pipe, A312-TP304L, Seamless SCH10",01,Stainless Steel (SUS),0102,Pipe,0102011,A312-TP304L,0102011008,Seamless SCH10,A
"Pipe, A312-TP304L, Seamless SCH40",01,Stainless Steel (SUS),0102,Pipe,0102011,A312-TP304L,0102011010,Seamless SCH40,A
"Pipe, A358-TP304L, EFW SCH10",01,Stainless Steel (SUS),0102,Pipe,0102012,A358-TP304L,0102012001,EFW SCH10,A
"Elbow (Long), SUS 304, AP/MP",01,Stainless Steel (SUS),0103,Elbow (Long),0103001,SUS 304,0103001001,AP/MP,A
"Elbow (Long), SUS 304, SCH10",01,Stainless Steel (SUS),0103,Elbow (Long),0103001,SUS 304,0103001002,SCH10,A
"Elbow (Long), SUS 304, Screw SCH10",01,Stainless Steel (SUS),0103,Elbow (Long),0103001,SUS 304,0103001006,Screw SCH10,A
"Elbow (Long), SUS 304, Lined",01,Stainless Steel (SUS),0103,Elbow (Long),0103001,SUS 304,0103001007,Lined,A
"Elbow (Long), SUS 304, Screw SCH40",01,Stainless Steel (SUS),0103,Elbow (Long),0103001,SUS 304,0103001009,Screw SCH40,A
"Elbow (Long), A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0103,Elbow (Long),0103002,A403-WP304,0103002002,Seamless SCH10,A
"Elbow (Long), A403-WP304, Seamless SCH40",01,Stainless Steel (SUS),0103,Elbow (Long),0103002,A403-WP304,0103002003,Seamless SCH40,A
"Elbow (Long), A403-WP304, ERW SCH10",01,Stainless Steel (SUS),0103,Elbow (Long),0103002,A403-WP304,0103002008,ERW SCH10,A
"Elbow (Long), A182-F304, SW 3000LBS",01,Stainless Steel (SUS),0103,Elbow (Long),0103003,A182-F304,0103003001,SW 3000LBS,A
"Elbow (Long), A182-F304L, SW 3000LBS",01,Stainless Steel (SUS),0103,Elbow (Long),0103004,A182-F304L,0103004002,SW 3000LBS,A
"Elbow (Long), A182-F304L, Threaded 3000LBS",01,Stainless Steel (SUS),0103,Elbow (Long),0103004,A182-F304L,0103004005,Threaded 3000LBS,A
"Elbow (Long), SUS 316L, EP",01,Stainless Steel (SUS),0103,Elbow (Long),0103005,SUS 316L,0103005012,EP,A
"Elbow (Long), SUS 316L, Coaxial (Double Containment)",01,Stainless Steel (SUS),0103,Elbow (Long),0103005,SUS 316L,0103005013,Coaxial (Double Containment),A
"Elbow (Long), A403-WP304L, Seamless SCH10",01,Stainless Steel (SUS),0103,Elbow (Long),0103006,A403-WP304L,0103006009,Seamless SCH10,A
"Elbow (Long), Spiral",01,Stainless Steel (SUS),0103,Elbow (Long),0103012,Spiral,0103012001,Elbow,A
"Elbow (Long), Structural Pipe (Tube)",01,Stainless Steel (SUS),0103,Elbow (Long),0103016,Structural Pipe (Tube),0103016001,Elbow,A
"Tee, SUS 304, SCH10",01,Stainless Steel (SUS),0104,Tee,0104001,SUS 304,0104001001,SCH10,A
"Tee, SUS 304, AP/MP",01,Stainless Steel (SUS),0104,Tee,0104001,SUS 304,0104001003,AP/MP,A
"Tee, SUS 304, SCH40",01,Stainless Steel (SUS),0104,Tee,0104001,SUS 304,0104001008,SCH40,A
"Tee, SUS 304, PTFE Lined",01,Stainless Steel (SUS),0104,Tee,0104001,SUS 304,0104001009,PTFE Lined,A
"Tee, A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0104,Tee,0104002,A403-WP304,0104002003,Seamless SCH10,A
"Tee, A403-WP304, Seamless SCH40",01,Stainless Steel (SUS),0104,Tee,0104002,A403-WP304,0104002004,Seamless SCH40,A
"Tee, A182-F304, SW 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104003,A182-F304,0104003001,SW 3000LBS,A
"Tee, A182-F304, Threaded 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104003,A182-F304,0104003005,Threaded 3000LBS,A
"Tee, A182-F304L, SW 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104004,A182-F304L,0104004001,SW 3000LBS,A
"Tee, A403-WP316, Seamless SCH10",01,Stainless Steel (SUS),0104,Tee,0104007,A403-WP316,0104007004,Seamless SCH10,A
"Tee, Spiral",01,Stainless Steel (SUS),0104,Tee,0104011,Spiral,0104011001,Tee,A
"Tee, Structural Pipe (Tube)",01,Stainless Steel (SUS),0104,Tee,0104015,Structural Pipe (Tube),0104015001,Tee,A
"Tee, SUS 316L, BA",01,Stainless Steel (SUS),0104,Tee,0104017,SUS 316L,0104017001,BA,A
"Tee, SUS 316L, EP",01,Stainless Steel (SUS),0104,Tee,0104017,SUS 316L,0104017003,EP,A
